id,referee,timezone,date,venue_id,venue_name,venue_city,season,round,home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime,home_goals_extra_time,away_goals_extratime,home_goals_penalty,away_goals_penalty
816447,Ó. Mejía,UTC,2022-04-16T00:00:00+00:00,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,2021,Clausura - 14,Necaxa,Atletico San Luis,True,False,4.0,2.0,3.0,1.0,4.0,2.0,,,,
816448,L. Santander,UTC,2022-04-16T02:06:00+00:00,1088.0,Estadio Caliente,Tijuana,2021,Clausura - 14,Club Tijuana,Club America,False,True,1.0,3.0,1.0,2.0,1.0,3.0,,,,
816449,Ó. Macías,UTC,2022-04-16T02:00:00+00:00,1845.0,Estadio Olímpico Benito Juárez,Ciudad Juárez,2021,Clausura - 14,FC Juarez,Pachuca,False,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
816450,"Eduardo Galvan Basulto, Mexico",UTC,2022-04-16T22:00:00+00:00,,Estadio Leon,Leon,2021,Clausura - 14,Leon,Puebla,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
816451,C. Ramos,UTC,2022-04-17T00:00:00+00:00,1085.0,Estadio Nuevo Corona,Torreón,2021,Clausura - 14,Santos Laguna,Club Queretaro,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
816452,M. Ortíz,UTC,2022-04-17T00:00:00+00:00,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2021,Clausura - 14,Tigres UANL,Toluca,True,False,3.0,0.0,0.0,0.0,3.0,0.0,,,,
816453,J. Pérez,UTC,2022-04-17T02:00:00+00:00,7182.0,Estadio Azteca,D.F.,2021,Clausura - 14,Cruz Azul,Guadalajara Chivas,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
816454,"Erick Yair Miranda Galindo, Mexico",UTC,2022-04-17T17:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2021,Clausura - 14,U.N.A.M. - Pumas,Monterrey,True,False,2.0,0.0,0.0,0.0,2.0,0.0,,,,
816455,"Oscar Mejia Garcia, Mexico",UTC,2022-04-20T00:00:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2021,Clausura - 15,Pachuca,Puebla,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
816456,"Jesus Rafael Lopez Valle, Mexico",UTC,2022-04-20T00:00:00+00:00,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,2021,Clausura - 15,Necaxa,Tigres UANL,True,False,2.0,0.0,2.0,0.0,2.0,0.0,,,,
816457,"Fernando Hernandez, Mexico",UTC,2022-04-20T02:00:00+00:00,10546.0,Estadio de Mazatlán,Mazatlán,2021,Clausura - 15,Mazatlán,Santos Laguna,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
816458,"Victor Alfonso Caceres Hernandez, Mexico",UTC,2022-04-20T02:00:00+00:00,1089.0,Estadio Nemesio Díez,Toluca de Lerdo,2021,Clausura - 15,Toluca,FC Juarez,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
816459,"Adonai Escobedo Gonzalez, Mexico",UTC,2022-04-20T02:00:00+00:00,1076.0,Estadio AKRON,Zapopan,2021,Clausura - 15,Guadalajara Chivas,Club Tijuana,True,False,2.0,1.0,1.0,1.0,2.0,1.0,,,,
816460,"Marco Antonio Ortiz Nava, Mexico",UTC,2022-04-21T00:00:00+00:00,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2021,Clausura - 15,Atletico San Luis,U.N.A.M. - Pumas,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
816461,"Diego Montano, Mexico",UTC,2022-04-21T02:00:00+00:00,7182.0,Estadio Azteca,D.F.,2021,Clausura - 15,Club America,Leon,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
816462,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2022-04-21T02:06:00+00:00,11905.0,Estadio BBVA,Guadalupe,2021,Clausura - 15,Monterrey,Atlas,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
816463,"Fernando Guerrero Ramirez, Mexico",UTC,2022-04-22T02:00:00+00:00,1084.0,Estadio La Corregidora,Santiago de Querétaro,2021,Clausura - 15,Club Queretaro,Cruz Azul,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
816464,I. Lopez,UTC,2022-04-23T00:00:00+00:00,1082.0,Estadio Cuauhtémoc,Puebla,2021,Clausura - 16,Puebla,Necaxa,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
816465,Ó. Mejía,UTC,2022-04-23T02:00:00+00:00,1845.0,Estadio Olímpico Benito Juárez,Ciudad Juárez,2021,Clausura - 16,FC Juarez,Mazatlán,False,True,0.0,2.0,0.0,1.0,0.0,2.0,,,,
816466,"Luis Santander, Mexico",UTC,2022-04-23T22:00:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2021,Clausura - 16,Pachuca,Monterrey,True,False,3.0,0.0,1.0,0.0,3.0,0.0,,,,
816467,F. Hernández,UTC,2022-04-24T00:00:00+00:00,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2021,Clausura - 16,Tigres UANL,Club America,False,True,0.0,2.0,0.0,1.0,0.0,2.0,,,,
816468,Ó. Macías,UTC,2022-04-24T02:00:00+00:00,1076.0,Estadio AKRON,Zapopan,2021,Clausura - 16,Guadalajara Chivas,U.N.A.M. - Pumas,True,False,3.0,1.0,2.0,0.0,3.0,1.0,,,,
816469,"Fernando Guerrero Ramirez, Mexico",UTC,2022-04-24T17:00:00+00:00,1089.0,Estadio Nemesio Díez,Toluca de Lerdo,2021,Clausura - 16,Toluca,Atlas,False,True,2.0,4.0,1.0,2.0,2.0,4.0,,,,
816470,"Jesus Rafael Lopez Valle, Mexico",UTC,2022-04-24T22:00:00+00:00,7182.0,Estadio Azteca,D.F.,2021,Clausura - 16,Cruz Azul,Atletico San Luis,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
816471,"Adonai Escobedo Gonzalez, Mexico",UTC,2022-04-25T00:00:00+00:00,1085.0,Estadio Nuevo Corona,Torreón,2021,Clausura - 16,Santos Laguna,Leon,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
816472,"Marco Antonio Ortiz Nava, Mexico",UTC,2022-04-25T02:06:00+00:00,1088.0,Estadio Caliente,Tijuana,2021,Clausura - 16,Club Tijuana,Club Queretaro,,,2.0,2.0,2.0,0.0,2.0,2.0,,,,
816473,C. Ramos,UTC,2022-04-30T00:00:00+00:00,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,2021,Clausura - 17,Necaxa,Guadalajara Chivas,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
816474,J. Pérez,UTC,2022-04-30T02:05:00+00:00,10546.0,Estadio de Mazatlán,Mazatlán,2021,Clausura - 17,Mazatlán,Puebla,True,False,2.0,1.0,0.0,0.0,2.0,1.0,,,,
816475,"Adonai Escobedo Gonzalez, Mexico",UTC,2022-04-30T22:00:00+00:00,1084.0,Estadio La Corregidora,Santiago de Querétaro,2021,Clausura - 17,Club Queretaro,FC Juarez,True,False,4.0,0.0,2.0,0.0,4.0,0.0,,,,
816476,Ó. Mejía,UTC,2022-05-01T00:00:00+00:00,1071.0,Estadio Jalisco,Guadalajara,2021,Clausura - 17,Atlas,Tigres UANL,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
816477,D. Quintero,UTC,2022-05-01T00:06:00+00:00,11905.0,Estadio BBVA,Guadalupe,2021,Clausura - 17,Monterrey,Club Tijuana,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
816478,M. Ortíz,UTC,2022-05-01T02:00:00+00:00,7182.0,Estadio Azteca,D.F.,2021,Clausura - 17,Club America,Cruz Azul,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
816479,"Fernando Hernandez, Mexico",UTC,2022-05-01T17:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2021,Clausura - 17,U.N.A.M. - Pumas,Pachuca,True,False,2.0,0.0,0.0,0.0,2.0,0.0,,,,
816480,"Ismael Rosario Lopez Penuelas, Mexico",UTC,2022-05-01T21:00:00+00:00,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2021,Clausura - 17,Atletico San Luis,Santos Laguna,False,True,1.0,3.0,0.0,0.0,1.0,3.0,,,,
816481,"Luis Santander, Mexico",UTC,2022-05-02T01:06:00+00:00,,Estadio Leon,Leon,2021,Clausura - 17,Leon,Toluca,,,4.0,4.0,3.0,3.0,4.0,4.0,,,,
860911,"Fernando Guerrero Ramirez, Mexico",UTC,2022-05-07T22:45:00+00:00,7182.0,Estadio Azteca,D.F.,2021,Clausura - Reclasificacion,Cruz Azul,Necaxa,True,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0
860912,J. Pérez,UTC,2022-05-08T01:06:00+00:00,11905.0,Estadio BBVA,Guadalupe,2021,Clausura - Reclasificacion,Monterrey,Atletico San Luis,False,True,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0
860913,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2022-05-08T22:00:00+00:00,1082.0,Estadio Cuauhtémoc,Puebla,2021,Clausura - Reclasificacion,Puebla,Mazatlán,True,False,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0
860914,"Marco Antonio Ortiz Nava, Mexico",UTC,2022-05-09T00:15:00+00:00,1076.0,Estadio AKRON,Zapopan,2021,Clausura - Reclasificacion,Guadalajara Chivas,U.N.A.M. - Pumas,True,False,4.0,1.0,1.0,1.0,4.0,1.0,,,,
861500,"Oscar Mejia Garcia, Mexico",UTC,2022-05-12T00:00:00+00:00,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2021,Clausura - Quarter-finals,Atletico San Luis,Pachuca,,,2.0,2.0,1.0,1.0,2.0,2.0,,,,
861501,M. Ortíz,UTC,2022-05-15T01:05:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2021,Clausura - Quarter-finals,Pachuca,Atletico San Luis,True,False,3.0,2.0,0.0,0.0,3.0,2.0,,,,
861502,"Luis Santander, Mexico",UTC,2022-05-12T02:05:00+00:00,1082.0,Estadio Cuauhtémoc,Puebla,2021,Clausura - Quarter-finals,Puebla,Club America,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
861503,"Julio Gerardo Garcia Armenta, Mexico",UTC,2022-05-14T23:00:00+00:00,7182.0,Estadio Azteca,D.F.,2021,Clausura - Quarter-finals,Club America,Puebla,True,False,3.0,2.0,1.0,1.0,3.0,2.0,,,,
861504,"Fernando Hernandez, Mexico",UTC,2022-05-13T00:00:00+00:00,7182.0,Estadio Azteca,D.F.,2021,Clausura - Quarter-finals,Cruz Azul,Tigres UANL,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
861505,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2022-05-16T01:05:00+00:00,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2021,Clausura - Quarter-finals,Tigres UANL,Cruz Azul,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
861506,"Jorge Antonio Perez Duran, Mexico",UTC,2022-05-13T02:05:00+00:00,1076.0,Estadio AKRON,Zapopan,2021,Clausura - Quarter-finals,Guadalajara Chivas,Atlas,False,True,1.0,2.0,0.0,2.0,1.0,2.0,,,,
861507,"Fernando Hernandez, Mexico",UTC,2022-05-15T23:00:00+00:00,1071.0,Estadio Jalisco,Guadalajara,2021,Clausura - Quarter-finals,Atlas,Guadalajara Chivas,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
862203,"Marco Antonio Ortiz Nava, Mexico",UTC,2022-05-19T02:00:00+00:00,1071.0,Estadio Jalisco,Guadalajara,2021,Clausura - Semi-finals,Atlas,Tigres UANL,True,False,3.0,0.0,1.0,0.0,3.0,0.0,,,,
862204,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2022-05-22T01:00:00+00:00,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2021,Clausura - Semi-finals,Tigres UANL,Atlas,True,False,4.0,2.0,0.0,1.0,4.0,2.0,,,,
862205,"Jorge Antonio Perez Duran, Mexico",UTC,2022-05-20T01:00:00+00:00,7182.0,Estadio Azteca,D.F.,2021,Clausura - Semi-finals,Club America,Pachuca,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
862206,"Fernando Hernandez, Mexico",UTC,2022-05-23T01:06:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2021,Clausura - Semi-finals,Pachuca,Club America,True,False,3.0,0.0,2.0,0.0,3.0,0.0,,,,
862941,"Marco Antonio Ortiz Nava, Mexico",UTC,2022-05-27T02:00:00+00:00,1071.0,Estadio Jalisco,Guadalajara,2021,Clausura - Finals,Atlas,Pachuca,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
862942,"Fernando Hernandez, Mexico",UTC,2022-05-30T01:10:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2021,Clausura - Finals,Pachuca,Atlas,True,False,2.0,1.0,2.0,1.0,2.0,1.0,,,,
569664,F. Hernández,UTC,2020-07-26T02:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2020,Apertura - 1,Cruz Azul,Santos Laguna,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
569665,Ó. Mejía,UTC,2020-07-26T17:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2020,Apertura - 1,U.N.A.M. - Pumas,Club Queretaro,True,False,3.0,2.0,1.0,0.0,3.0,2.0,,,,
569666,A. Funk,UTC,2020-07-29T00:00:00+00:00,1079.0,Estadio BBVA Bancomer,Guadalupe,2020,Apertura - 1,Monterrey,Toluca,True,False,3.0,1.0,2.0,0.0,3.0,1.0,,,,
569667,M. Vargas,UTC,2020-07-28T01:00:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2020,Apertura - 1,Pachuca,Club America,False,True,1.0,2.0,0.0,0.0,1.0,2.0,,,,
569668,Ó. Macías,UTC,2020-08-01T00:30:00+00:00,1082.0,Estadio Cuauhtémoc,Puebla,2020,Apertura - 2,Puebla,Cruz Azul,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
569669,F. Hernández,UTC,2020-08-01T02:30:00+00:00,1845.0,Estadio Olímpico Benito Juárez,Ciudad Juárez,2020,Apertura - 2,FC Juarez,Necaxa,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
569670,A. Escobedo,UTC,2020-08-02T02:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2020,Apertura - 2,Club America,Club Tijuana,True,False,4.0,0.0,1.0,0.0,4.0,0.0,,,,
569671,C. Ramos,UTC,2020-08-02T00:00:00+00:00,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2020,Apertura - 2,Tigres UANL,Pachuca,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
569672,J. Pérez,UTC,2020-08-04T00:00:00+00:00,1071.0,Estadio Jalisco,Guadalajara,2020,Apertura - 2,Atlas,U.N.A.M. - Pumas,False,True,1.0,2.0,0.0,1.0,1.0,2.0,,,,
569673,D. Montaño,UTC,2020-08-02T17:00:00+00:00,1089.0,Estadio Nemesio Díez,Toluca de Lerdo,2020,Apertura - 2,Toluca,Atletico San Luis,True,False,3.0,2.0,2.0,1.0,3.0,2.0,,,,
569674,E. Miranda,UTC,2020-08-03T00:00:00+00:00,1084.0,Estadio La Corregidora,Santiago de Querétaro,2020,Apertura - 2,Club Queretaro,Mazatlán,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
569675,E. Galván,UTC,2020-08-03T00:06:00+00:00,1085.0,Estadio Nuevo Corona,Torreón,2020,Apertura - 2,Santos Laguna,Guadalajara Chivas,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
569676,F. Guerrero,UTC,2020-08-04T02:50:00+00:00,,Estadio León,León de los Aldamas,2020,Apertura - 2,Leon,Monterrey,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
569677,A. Escobedo,UTC,2020-08-07T00:00:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2020,Apertura - 3,Pachuca,Club Queretaro,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
569678,F. Guerrero,UTC,2020-08-07T02:06:00+00:00,1088.0,Estadio Caliente,Tijuana,2020,Apertura - 3,Club Tijuana,Tigres UANL,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
569679,J. Rojas,UTC,2020-08-08T00:30:00+00:00,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,2020,Apertura - 3,Necaxa,Club America,,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
569680,Ó. Mejía,UTC,2020-08-08T02:30:00+00:00,10546.0,Estadio de Mazatlán,Mazatlán,2020,Apertura - 3,Mazatlán,Toluca,True,False,2.0,1.0,2.0,1.0,2.0,1.0,,,,
569681,C. Ramos,UTC,2020-08-09T00:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2020,Apertura - 3,Cruz Azul,Leon,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
569682,M. Ortíz,UTC,2020-08-09T00:06:00+00:00,1079.0,Estadio BBVA Bancomer,Guadalupe,2020,Apertura - 3,Monterrey,Santos Laguna,,,2.0,2.0,1.0,1.0,2.0,2.0,,,,
569683,J. Pérez,UTC,2020-08-09T02:00:00+00:00,1076.0,Estadio AKRON,Zapopan,2020,Apertura - 3,Guadalajara Chivas,Puebla,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
569684,Ó. Macías,UTC,2020-08-09T17:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2020,Apertura - 3,U.N.A.M. - Pumas,FC Juarez,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
569685,F. Hernández,UTC,2020-08-10T00:00:00+00:00,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2020,Apertura - 3,Atletico San Luis,Atlas,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
569686,J. Pérez,UTC,2020-08-12T00:00:00+00:00,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,2020,Apertura - 4,Necaxa,Mazatlán,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
569687,E. Galván,UTC,2020-08-12T00:00:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2020,Apertura - 4,Pachuca,Leon,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
569688,E. Miranda,UTC,2020-08-12T02:00:00+00:00,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2020,Apertura - 4,Tigres UANL,Puebla,True,False,2.0,1.0,2.0,0.0,2.0,1.0,,,,
569689,J. Rojas,UTC,2020-08-13T00:00:00+00:00,1084.0,Estadio La Corregidora,Santiago de Querétaro,2020,Apertura - 4,Club Queretaro,Cruz Azul,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
569690,A. Escobedo,UTC,2020-08-13T00:00:00+00:00,1845.0,Estadio Olímpico Benito Juárez,Ciudad Juárez,2020,Apertura - 4,FC Juarez,Guadalajara Chivas,False,True,0.0,2.0,0.0,0.0,0.0,2.0,,,,
569691,M. Ortíz,UTC,2020-08-13T02:06:00+00:00,1088.0,Estadio Caliente,Tijuana,2020,Apertura - 4,Club Tijuana,Atletico San Luis,False,True,0.0,2.0,0.0,1.0,0.0,2.0,,,,
569692,D. Montaño,UTC,2020-08-13T02:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2020,Apertura - 4,U.N.A.M. - Pumas,Monterrey,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
569693,L. Santander,UTC,2020-08-14T00:00:00+00:00,1071.0,Estadio Jalisco,Guadalajara,2020,Apertura - 4,Atlas,Toluca,False,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
569694,F. Hernández,UTC,2020-08-14T02:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2020,Apertura - 4,Club America,Santos Laguna,True,False,3.0,1.0,3.0,0.0,3.0,1.0,,,,
569695,F. Guerrero,UTC,2020-08-15T02:30:00+00:00,1082.0,Estadio Cuauhtémoc,Puebla,2020,Apertura - 5,Puebla,Pachuca,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
569696,C. Ramos,UTC,2020-08-16T00:00:00+00:00,1076.0,Estadio AKRON,Zapopan,2020,Apertura - 5,Guadalajara Chivas,Atletico San Luis,True,False,2.0,1.0,0.0,0.0,2.0,1.0,,,,
569697,J. Pérez,UTC,2020-08-16T00:00:00+00:00,7182.0,Estadio Azteca,D.F.,2020,Apertura - 5,Cruz Azul,FC Juarez,True,False,3.0,2.0,1.0,1.0,3.0,2.0,,,,
569698,E. Galván,UTC,2020-08-16T02:06:00+00:00,1079.0,Estadio BBVA Bancomer,Guadalupe,2020,Apertura - 5,Monterrey,Necaxa,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
569699,A. Funk,UTC,2020-08-16T02:00:00+00:00,10546.0,Estadio de Mazatlán,Mazatlán,2020,Apertura - 5,Mazatlán,U.N.A.M. - Pumas,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
569700,J. Rojas,UTC,2020-08-16T17:00:00+00:00,1089.0,Estadio Nemesio Díez,Toluca de Lerdo,2020,Apertura - 5,Toluca,Tigres UANL,True,False,3.0,2.0,1.0,1.0,3.0,2.0,,,,
569701,Ó. Mejía,UTC,2020-08-17T00:06:00+00:00,1085.0,Estadio Nuevo Corona,Torreón,2020,Apertura - 5,Santos Laguna,Atlas,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
569702,D. Montaño,UTC,2020-08-17T02:00:00+00:00,1084.0,Estadio La Corregidora,Santiago de Querétaro,2020,Apertura - 5,Club Queretaro,Club America,True,False,4.0,1.0,1.0,0.0,4.0,1.0,,,,
569703,E. Miranda,UTC,2020-08-18T02:00:00+00:00,,Estadio León,León de los Aldamas,2020,Apertura - 5,Leon,Club Tijuana,True,False,2.0,1.0,0.0,1.0,2.0,1.0,,,,
569704,D. Montaño,UTC,2020-08-24T02:06:00+00:00,1088.0,Estadio Caliente,Tijuana,2020,Apertura - 6,Club Tijuana,Puebla,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
569705,A. Escobedo,UTC,2020-08-22T00:30:00+00:00,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,2020,Apertura - 6,Necaxa,Santos Laguna,True,False,2.0,1.0,0.0,1.0,2.0,1.0,,,,
569706,F. Hernández,UTC,2020-08-22T02:30:00+00:00,1845.0,Estadio Olímpico Benito Juárez,Ciudad Juárez,2020,Apertura - 6,FC Juarez,Leon,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
569707,A. Funk,UTC,2020-08-23T00:00:00+00:00,1071.0,Estadio Jalisco,Guadalajara,2020,Apertura - 6,Atlas,Club Queretaro,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
569708,J. Pérez,UTC,2020-08-23T00:00:00+00:00,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2020,Apertura - 6,Tigres UANL,U.N.A.M. - Pumas,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
569709,F. Guerrero,UTC,2020-08-23T02:00:00+00:00,7182.0,Estadio Azteca,D.F.,2020,Apertura - 6,Club America,Monterrey,False,True,1.0,3.0,0.0,2.0,1.0,3.0,,,,
569710,M. Ortíz,UTC,2020-08-23T22:30:00+00:00,1089.0,Estadio Nemesio Díez,Toluca de Lerdo,2020,Apertura - 6,Toluca,Guadalajara Chivas,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
569711,Ó. Mejía,UTC,2020-08-24T00:35:00+00:00,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2020,Apertura - 6,Atletico San Luis,Cruz Azul,False,True,1.0,3.0,1.0,2.0,1.0,3.0,,,,
569712,C. Ramos,UTC,2020-08-25T02:05:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2020,Apertura - 6,Pachuca,Mazatlán,True,False,4.0,3.0,2.0,1.0,4.0,3.0,,,,
569713,E. Galván,UTC,2020-08-29T00:30:00+00:00,1082.0,Estadio Cuauhtémoc,Puebla,2020,Apertura - 7,Puebla,Toluca,True,False,4.0,1.0,2.0,1.0,4.0,1.0,,,,
569714,Ó. Mejía,UTC,2020-08-29T02:35:00+00:00,10546.0,Estadio de Mazatlán,Mazatlán,2020,Apertura - 7,Mazatlán,Tigres UANL,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
569715,C. Ramos,UTC,2020-08-31T02:06:00+00:00,1079.0,Estadio BBVA Bancomer,Guadalupe,2020,Apertura - 7,Monterrey,FC Juarez,True,False,2.0,1.0,0.0,1.0,2.0,1.0,,,,
569716,J. Pérez,UTC,2020-08-30T00:00:00+00:00,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2020,Apertura - 7,Atletico San Luis,Club America,False,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
569717,F. Hernández,UTC,2020-08-30T00:00:00+00:00,1076.0,Estadio AKRON,Zapopan,2020,Apertura - 7,Guadalajara Chivas,Pachuca,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
569718,M. Ortíz,UTC,2020-08-30T02:00:00+00:00,7182.0,Estadio Azteca,D.F.,2020,Apertura - 7,Cruz Azul,Necaxa,True,False,3.0,0.0,1.0,0.0,3.0,0.0,,,,
569719,J. Rojas,UTC,2020-08-30T17:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2020,Apertura - 7,U.N.A.M. - Pumas,Club Tijuana,True,False,3.0,0.0,1.0,0.0,3.0,0.0,,,,
569720,F. Guerrero,UTC,2020-08-31T00:06:00+00:00,1085.0,Estadio Nuevo Corona,Torreón,2020,Apertura - 7,Santos Laguna,Club Queretaro,True,False,2.0,1.0,1.0,1.0,2.0,1.0,,,,
569721,A. Escobedo,UTC,2020-09-01T02:05:00+00:00,,Estadio León,León de los Aldamas,2020,Apertura - 7,Leon,Atlas,True,False,2.0,1.0,2.0,1.0,2.0,1.0,,,,
569722,C. Ramos,UTC,2020-09-04T00:00:00+00:00,1084.0,Estadio La Corregidora,Santiago de Querétaro,2020,Apertura - 8,Club Queretaro,Toluca,True,False,4.0,1.0,2.0,0.0,4.0,1.0,,,,
569723,Ó. Macías,UTC,2020-09-04T02:00:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2020,Apertura - 8,Pachuca,Atletico San Luis,True,False,3.0,1.0,2.0,0.0,3.0,1.0,,,,
569724,L. Santander,UTC,2020-09-05T00:30:00+00:00,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,2020,Apertura - 8,Necaxa,Leon,False,True,0.0,2.0,0.0,1.0,0.0,2.0,,,,
569725,M. Ortíz,UTC,2020-09-05T02:30:00+00:00,1845.0,Estadio Olímpico Benito Juárez,Ciudad Juárez,2020,Apertura - 8,FC Juarez,Santos Laguna,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
569726,F. Hernández,UTC,2020-09-06T00:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2020,Apertura - 8,U.N.A.M. - Pumas,Puebla,True,False,4.0,1.0,2.0,1.0,4.0,1.0,,,,
569727,E. Miranda,UTC,2020-09-06T00:00:00+00:00,1071.0,Estadio Jalisco,Guadalajara,2020,Apertura - 8,Atlas,Cruz Azul,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
